title,genre,youtube_url,title_clean,lyrics
Europe - The Final Countdown (Official Video),rock,https://www.youtube.com/watch?v=9jK-NcRmVcw,Europe The Final Countdown,"68 ContributorsTranslationsPortuguêsČeskyDeutschРусский (Russian)The Final Countdown LyricsThis song was based on a keyboard riff Joey Tempest written as early as 1981, borrowed from keyboardist Mic Michaeli. In 1985, bassist John Levén suggested Tempest to write a song based on that riff. And that… Read More [Verse 1]
We're leaving together, but still, it's farewell
And maybe we'll come back to Earth, who can tell?
I guess there is no one to blame
We're leaving ground (Leaving ground)
Will things ever be the same again?

[Chorus]
It's the final countdown
The final countdown

[Verse 2]
Oh-oh, we're heading for Venus (Venus)
And still, we stand tall
'Cause maybe they've seen us
And welcome us all, yeah
With so many light years to go
And things to be found (To be found)
I'm sure that we'll all miss her so

[Chorus]
It's the final countdown
The final countdown
The final countdown (Final countdown)
Oh, oh-oh, oh-oh-ohh


[Guitar Solo]

[Chorus]
The final countdown, oh, oh
It's the final countdown
The final countdown
The final countdown (Final countdown)
Oh, it's the final countdown
We're leaving together (The final countdown)
We'll all miss her so
It's the final countdown (Final countdown), oh

[Outro]
It's the final countdown
Yeah"
Bon Jovi - Livin' On A Prayer,rock,https://www.youtube.com/watch?v=lDK9QqIzhwk,Bon Jovi Livin' On A Prayer,"100 ContributorsTranslationsPortuguêsLivin’ on a Prayer LyricsAccording to co-writer Desmond Child, Jon Bon Jovi originally considered not including “Living On A Prayer” on the band’s third album Slippery When Wet:

After Bon Jovi did the demo, Jon wasn’t sure about… Read More [Intro]
Once upon a time, not so long ago

[Verse 1]
Tommy used to work on the docks
Union's been on strike, he's down on his luck
It's tough
So tough
Gina works the diner all day
Workin' for her man, she brings home her pay
For love
Mm, for love

[Pre-Chorus]
She says, ""We've gotta hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot""

[Chorus]
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand, we'll make it, I swear
Woah-oh, livin' on a prayer

[Verse 2]
Tommy's got his six-string in hock
Now he's holdin' in, when he used to make it talk
So tough
Ooh, it's tough
Gina dreams of runnin' away
When she cries in the night, Tommy whispers
""Baby, it's okay
Someday""


[Pre-Chorus]
We've gotta hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot

[Chorus]
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand, we'll make it, I swear
Woah-oh, livin' on a prayer, livin' on a prayer

[Guitar Solo]

[Bridge]
Ooh, we gotta hold on, ready or not
You live for the fight when that's all that you've got

[Chorus]
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer"
Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],rock,https://www.youtube.com/watch?v=YlUKcNNmywk,Red Hot Chili Peppers Californication HD UPGRADE,
Radiohead - Creep,rock,https://www.youtube.com/watch?v=XFkzRNyygfk,Radiohead Creep,
The Verve - Bitter Sweet Symphony,rock,https://www.youtube.com/watch?v=1lyu1KKwC74,The Verve Bitter Sweet Symphony,"104 ContributorsTranslationsPolskiČeskyBitter Sweet Symphony Lyrics“Bitter Sweet Symphony” is perhaps the most ambitious Britpop hit of the late 90s. It is now absolutely everywhere. It’s lyrically opaque, and it is six minutes long, but that hasn’t stopped it becoming an… Read More [Verse 1]
'Cause it's a bitter sweet symphony that's life
Trying to make ends meet, you're a slave to money then you die
I'll take you down the only road I've ever been down
You know the one that takes you to the places
Where all the veins meet, yeah

[Chorus]
No change, I can change
I can change, I can change
But I'm here in my mould
I am here in my mould
But I'm a million different people from one day to the next
I can't change my mould
No, no, no, no, no, no, no
(Have you ever been down?)

[Verse 2]
Well I've never prayed, but tonight I'm on my knees, yeah
I need to hear some sounds that recognize the pain in me, yeah
I let the melody shine, let it cleanse my mind, I feel free now
But the airwaves are clean and there's nobody singing to me now

[Chorus]
No change, I can change
I can change, I can change
But I'm here in my mould
I am here in my mould
And I'm a million different people from one day to the next
I can't change my mould
No, no, no, no, no
Have you ever been down?
I can't change it you know, I can't change it


[Verse 3]
'Cause it's a bitter sweet symphony, that's life
Trying to make ends meet
Trying to find some money, then you die
I'll take you down the only road I've ever been down
You know the one that takes you to the places
Where all the veins meet, yeah

[Chorus]
You know I can change, I can change
I can change, I can change
But I'm here in my mould
I am here in my mould
And I'm a million different people from one day to the next
I can't change my mould, no, no, no, no, no
I can't change my mould, no, no, no, no, no
I can't change my mould, no, no, no, no, no
You've gotta change my mould, no, no, no
(It's just sex and violence, melody and silence)
(It's just  sex and violence, melody and violence)
(It's just sex and silence, melody and silence)
(I'll take you down the only road I've ever been down)
(It's just sex and violence, melody and silence)
(I'll take you down the only road I've ever been down)
(It's just sex and violence, melody and violence)
Been down
Ever been down
(I can't change my mould, no, no, no, no, no)
(It's just sex and violence, melody and violence)
Ever been down
(I can't change my mould, no, no, no, no, no)
Ever been down
Ever been down
Have you ever been down?
Have you ever been down?
Have you ever been down?"
Nazaré Rush - Maldives [Official Music Video],rock,https://www.youtube.com/watch?v=Cj8ZC-0HZOs,Nazar Rush Maldives Official Music Video,
No Doubt - Don't Speak (Official 4K Music Video),rock,https://www.youtube.com/watch?v=TR3Vdo5etCQ,No Doubt Don't Speak,"62 ContributorsTranslationsPortuguêsTürkçeEspañolDon’t Speak LyricsGwen Stefani wrote “Don’t Speak” with brother and bandmate Eric Stefani. The song details Gwen’s break-up with bandmate Tony Kanal. The two met in high school and dated for seven years.



In an interview… Read More [Verse 1]
You and me
We used to be together
Every day together, always
I really feel
That I'm losing my best friend
I can't believe this could be the end

[Pre-Chorus]
It looks as though you're letting go
And if it's real, well, I don't want to know

[Chorus]
Don't speak
I know just what you're sayin'
So please stop explainin'
Don't tell me 'cause it hurts
Don't speak
I know what you're thinkin'
I don't need your reasons
Don't tell me 'cause it hurts

[Verse 2]
Our memories
They can be inviting
But some are altogether mighty frightening


[Pre-Chorus]
As we die, both you and I
With my head in my hands, I sit and cry

[Chorus]
Don't speak
I know just what you're sayin'
So please stop explainin'
Don't tell me 'cause it hurts
No, no, no, don't speak
I know what you're thinkin'
And I don't need your reasons
Don't tell me 'cause it hurts

[Bridge]
It's all ending
I gotta stop pretending
Who we are

[Guitar Solo]

[Verse 3]
You and me
I can see us dyin'
Are we?


[Chorus]
Don't speak
I know just what you're sayin'
So please stop explainin'
Don't tell me 'cause it hurts
No, no, don't speak
I know what you're thinkin'
And I don't need your reasons
Don't tell me 'cause it hurts
Don't tell me 'cause it hurts
I know what you're sayin'
So please stop explainin'
Don't speak, don't speak
Don't speak, no
I know what you're thinkin'
And I don't need your reasons
I know you're good
I know you're good
I know you're real good, oh

[Post-Chorus]
La-la-la-la
La-la-la-la
Don't, don't
Ooh-ooh


[Outro]
Hush, hush, darlin'
Hush, hush, darlin'
Hush, hush
Don't tell me 'cause it hurts
Hush, hush, darlin'
Hush, hush, darlin'
Hush, hush
Don't tell me 'cause it hurts
Oh, hush, hush, darlin'
Hush, hush, darlin'"
Scorpions - Wind Of Change (Official Music Video),rock,https://www.youtube.com/watch?v=n4RjJKxsamQ,Scorpions Wind Of Change,"80 ContributorsTranslationsΕλληνικάDeutschWind of Change LyricsThe 4th track and 3rd single of Scorpions‘ 1990 album Crazy World. Written by vocalist Klaus Meine, “Wind of Change” is a power ballad about the various social and political changes that were happening in… Read More [Intro]
(*Whistling*)

[Verse 1]
I follow the Moskva
Down to Gorky Park
Listening to the wind of change
An August summer night
Soldiers passing by
Listening to the wind of change
(*Whistling*)

[Verse 2]
The world is closing in
And did you ever think
That we could be so close, like brothers?
The future's in the air
I can feel it everywhere
Blowing with the wind of change

[Chorus]
Take me to the magic of the moment
On a glory night
Where the children of tomorrow dream away (Dream away)
In the wind of change
Mmm


[Verse 3]
Walking down the street
And distant memories
Are buried in the past forever
I follow the Moskva
And down to Gorky Park
Listening to the wind of change

[Chorus]
Take me (Take me) to the magic of the moment
On a glory night (A glory night)
Where the children of tomorrow share their dreams (Share their dreams)
With you and me (With you and me)
Take me (Take me) to the magic of the moment
On a glory night (A glory night)
Where the children of tomorrow dream away (Dream away)
In the wind of change (The wind of change)

[Bridge]
The wind of change
Blows straight into the face of time
Like a storm wind that will ring the freedom bell
For peace of mind
Let your balalaika sing
What my guitar wants to say (Say)


[Guitar Solo]

[Chorus]
Take me (Take me) to the magic of the moment
On a glory night (A glory night)
Where the children of tomorrow share their dreams (Share their dreams)
With you and me (With you and me)
Take me (Take me) to the magic of the moment
On a glory night (A glory night)
Where the children of tomorrow dream away (Dream away)
In the wind of change (The wind of change)

[Outro]
(*Whistling*)"
Toto - Africa (Official HD Video),rock,https://www.youtube.com/watch?v=FTQbiNvZqaY,Toto Africa,"189 ContributorsTranslationsItalianoDeutschAfrica Lyrics“Africa” is the third single from Toto’s 1982 album titled Toto IV.  It is the group’s most popular song and reached #1 on Billboard’s Hot 100 in early 1983.

The lyrics comprise a heartfelt (if somewhat… Read More [Instrumental Intro]

[Verse 1: David Paich]
I hear the drums echoin' tonight
But she hears only whispers of some quiet conversation
She's comin' in, 12:30 flight
The moonlit wings reflect the stars that guide me towards salvation
I stopped an old man along the way
Hopin' to find some old forgotten words or ancient melodies
He turned to me as if to say
""Hurry, boy, it's waitin' there for you""

[Chorus: Bobby Kimball]
It's gonna take a lot to drag me away from you
There's nothin' that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
Ooh, ooh

[Verse 2: David Paich]
The wild dogs cry out in the night
As they grow restless, longing for some solitary company
I know that I must do what's right
As sure as Kilimanjaro rises like Olympus above the Serengeti
I seek to cure what's deep inside
Frightened of this thing that I've become


[Chorus: Bobby Kimball]
It's gonna take a lot to drag me away from you
There's nothin' that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
Ooh, ooh

[Instrumental Break]

[Bridge: David Paich & Bobby Kimball]
""Hurry, boy, she's waiting there for you""

[Chorus: Bobby Kimball]
It's gonna take a lot to drag me away from you
There's nothin' that a hundred men or more could ever do
I bless the rains down in Africa
I bless the rains down in Africa (I bless the rains)
I bless the rains down in Africa (I bless the rains)
I bless the rains down in Africa
I bless the rains down in Africa (I'm gonna take the time)
Gonna take some time to do the things we never had
Ooh, ooh

[Instrumental Outro]"
AC/DC - Back In Black (Official 4K Video),rock,https://www.youtube.com/watch?v=pAgnJDJN4VA,ACDC Back In Black,"76 ContributorsTranslationsPortuguêsBack in Black Lyrics“Back In Black” is the title track off AC/DC’s first album with Brian Johnson, and became its third single. The song is a tribute to deceased frontman Bon Scott. When Brian Johnson was told to write a song… Read More [Verse 1]
Back in black, I hit the sack
I've been too long, I'm glad to be back
Yes, I'm let loose from the noose
That's kept me hangin' about
I'm just a-lookin' at the sky 'cause it's gettin' me high
Forget the hearse, 'cause I'll never die
I got nine lives, cat's eyes
Abusin' every one of them and runnin' wild

[Chorus]
'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back
Back
Well, I'm back in black
Yes, I'm back in black

[Verse 2]
Oh, back in the back of a Cadillac
Number one with a bullet, I'm a power pack
Yes, I'm in a bang, ooh, with a gang
They've got to catch me if they want me to hang
'Cause I'm back on the track and I'm beatin' the flack
Nobody's gonna get me on another rap
So, look at me now, I'm just a-makin' my play
Don't try to push your luck, just get outta my way


[Chorus]
'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back
Back
Well, I'm back in black
Yes, I'm back in black

[Guitar Solo]

[Chorus]
Well, I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back
Back
Well, I'm back in black
Yes, I'm back in black, yow

[Bridge]
Ah, yeah
Oh, yeah
Yes, I am
Oh, yeah
Yeah
Ah, hey, yeah
Here we go


[Chorus]
Well, I'm back (I'm back)
Back, well, I'm (I'm back)
Back (I'm back)
Back (I'm back)
Back (I'm back)
Back
It's back in black
Yes, I'm back in black

[Outro]
Outta the sack

[Guitar Solo]"
